회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
가디언자산운용,0,77802561508,0,0,0,0,0,0,0,0,0,4027566353,0,0,0,81830127861,0,0,36886487946
갤럭시자산운용,0,19520000000,3719987209,0,0,12509999900,0,0,0,0,0,21121293641,0,0,30000000000,86871280750,0,0,-2205697189
경일에셋자산운용,0,0,0,0,0,0,0,0,0,0,0,3007824609,0,0,0,3007824609,0,0,3007824609
골든브릿지자산운용,8850846035,1106046439,1920404909,758019251,0,171200789497,0,2710407261,11741454252,0,106682690062,44480724950,0,0,0,349451382656,0,-1764331,-100833462855
골든스톤자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000000000
교보악사자산운용,4204447592055,66133065709,546313819876,19421335273000,0,851864804158,11695892580590,2115077108655,29564267290,0,1250986919332,735323126008,0,0,815997119634,41732935676307,0,187086781248,-2890924981475
교보에이아이엠자산운용,0,0,0,42975368039,65441231962,453596725305,0,63254656121,779104024571,0,983480223969,814979943378,0,70827021977,0,3273659195322,0,517985906,763469989983
구도자산운용,0,0,0,0,0,0,0,0,0,0,0,1268915091914,0,0,0,1268915091914,0,-14629637,624737020733
국제자산운용,0,0,0,0,0,0,0,0,64587877427,0,0,0,0,0,0,64587877427,0,0,0
그라니쿠스자산운용,0,0,0,0,0,0,0,0,22449758001,0,0,0,0,0,0,22449758001,0,0,22449758001
그래디언트자산운용,0,0,0,0,0,0,0,0,25100000000,0,0,12425608952,0,0,0,37525608952,0,0,-202247476
그래비티자산운용,0,0,0,0,0,0,0,0,1003672290160,0,0,0,0,0,0,1003672290160,0,0,111662479183
그레이스자산운용,0,0,0,0,0,0,0,0,0,0,0,29992206406,0,0,0,29992206406,0,0,20928817061
그로쓰힐자산운용,575597918316,0,0,0,0,10990869251,0,0,0,0,0,81408438052,0,0,0,667997225619,0,0,-31063413273
그린하버자산운용,31374861023,0,0,0,0,0,0,0,53831160139,0,443118593050,22793768699,0,0,0,551118382911,0,0,67491424123
글로벌원자산운용,3696273697,3449795345,4084016887,10000000000,0,46081302784,0,0,120976516460,0,0,42917694846,0,0,0,231205600019,0,0,51984516621
글로벌자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5488782482
나눔자산운용,0,50392827132,0,0,0,0,0,0,0,0,0,29031220868,0,0,0,79424048000,0,0,-28009156454
나무자산운용,0,0,0,0,0,0,0,0,0,0,0,10828330979,0,0,0,10828330979,0,0,-1462995834
나이스자산운용,0,12974961449,33400000000,0,0,10100000000,0,0,0,0,0,43897627963,0,0,5000000000,105372589412,0,0,-7609312302
나틱시스자산운용,0,0,0,0,0,20000000,0,0,0,0,0,0,0,0,0,20000000,0,0,0
넥서스자산운용,0,12618519067,0,0,0,0,0,0,0,0,0,46769437449,0,0,0,59387956516,0,0,7073031087
누림자산운용,0,0,0,0,0,0,0,26509960151,0,0,0,10868926940,0,0,0,37378887091,0,0,4777670132
누버거버먼자산운용,0,0,0,0,0,64177555950,0,0,0,0,0,0,0,0,0,64177555950,0,0,-710959178
