회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
가디언자산운용,0,77013972214,0,0,0,0,0,0,0,0,0,4041623458,0,0,0,81055595672,0,976277395,32296786179
갤럭시자산운용,0,17468159479,3756574678,0,0,12063919568,0,0,0,0,0,21572156837,0,0,92199964483,147060775045,0,320219019,25492620019
경일에셋자산운용,0,0,0,0,0,0,0,0,0,0,0,2596021705,0,0,0,2596021705,0,14665839,2596021705
골든브릿지자산운용,4118950303,2792047164,1926700615,758649636,0,170636207950,0,336523184,7426232659,0,4030595682,42846900218,0,0,0,234872807411,0,217920710,-108969029193
골든스톤자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1013972464
교보악사자산운용,16037376101427,166693253561,774346500556,20209846009047,0,895150825052,11857824025565,5079294360761,25013788350,0,1269154283937,793218918269,0,0,1153641560602,58261559627127,0,510279737492,3603875546646
교보에이아이엠자산운용,0,0,0,43150004003,62154285418,456331198843,0,63852037843,750552583209,0,1018371513637,891289951671,0,70827021977,0,3356528596601,0,2137683110,795438681518
구도자산운용,0,0,0,0,0,0,0,0,0,0,0,1165245740903,0,0,0,1165245740903,0,9883400590,363789888679
국제자산운용,0,0,0,0,0,0,0,0,75080735461,0,0,0,0,0,0,75080735461,0,5934247,13295821472
그라니쿠스자산운용,0,0,0,0,0,0,0,0,22416942489,0,0,0,0,0,0,22416942489,0,275811,22416942489
그래디언트자산운용,0,0,0,0,0,0,0,0,25191303774,0,0,11844747433,0,0,0,37036051207,0,167265779,-1817098695
그래비티자산운용,0,0,0,0,0,0,0,0,1050726617536,0,0,0,0,0,0,1050726617536,0,93802918,90507874855
그레이스자산운용,0,0,0,0,0,0,0,0,0,0,0,29668313738,0,0,0,29668313738,0,2427333,20615694480
그로쓰힐자산운용,1608366336459,0,0,0,0,10437547890,0,0,0,0,0,73612601907,0,0,0,1692416486256,0,24955749459,496547743896
그린하버자산운용,29426641274,0,0,0,0,0,0,0,51968493542,0,429394580632,22776307514,0,0,0,533566022962,0,439010982,53478853825
글로벌원자산운용,3690153770,3087004805,4106960926,8089751295,0,47290341198,0,0,2658201486,0,0,31491487029,0,0,0,100413900509,0,27938952,45881253022
글로벌자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5816017994
나눔자산운용,0,50917462563,0,0,0,0,0,0,0,0,0,28935072363,0,0,0,79852534926,0,-10320092,-46957807339
나무자산운용,0,0,0,0,0,0,0,0,0,0,0,8705726735,0,0,0,8705726735,0,-20538721,-1304397123
나이스자산운용,0,12612537803,33872172523,0,0,10154123983,0,0,0,0,0,56569798872,0,0,29732600000,142941233181,0,916564424,-34998408430
나틱시스자산운용,0,0,0,0,0,21813651,0,0,0,0,0,0,0,0,0,21813651,0,124186,-1652188
넥서스자산운용,0,13310707362,0,0,0,0,0,0,0,0,0,67063956025,0,0,0,80374663387,0,250871904,23862447121
누림자산운용,0,0,0,0,0,0,0,26570018243,0,0,0,10853588545,0,0,0,37423606788,0,147909297,3491966629
누버거버먼자산운용,0,0,0,0,0,83176127345,0,0,0,0,0,0,0,0,0,83176127345,0,556646191,-4975775875
다올자산운용,1054743489903,88579708748,666541608308,3150708778724,0,2656481828496,3719982045430,503376772867,2267673082828,0,1437374594555,484673477611,0,0,0,16030135387470,0,24926695833,2307251029815
다원자산운용,2282000000,0,55877690867,483574045552,0,0,0,0,0,0,0,14532035807,0,0,0,556265772226,0,197584149,-18325790767
다인자산운용,87792536782,0,137334632,0,0,0,0,0,0,0,0,35749343540,0,0,0,123679214954,0,21041531,54647418998
단디자산운용,0,0,0,0,0,0,0,0,0,0,0,82864006630,0,0,0,82864006630,0,2115232689,31299192293
대덕자산운용,19646263014,0,1579974104,0,0,0,0,903416474,0,0,0,22392649057,0,0,0,44522302649,0,-116056159,-8701285398
대신자산운용,6730478758237,114686358411,236470476844,6184729528718,0,254016486672,2255055952396,400944662781,788726180637,0,406095877,1050413683153,0,0,0,18015928183726,0,102355865800,4406983980815
더글로벌자산운용,10871873493,0,3437462212,0,0,0,0,0,0,0,0,23899735351,0,0,0,38209071056,0,62223036,-355060680
더다움자산운용,0,0,0,0,0,0,0,0,0,0,0,11680921504,0,0,0,11680921504,0,7292642,-23080124
더로크자산운용,0,0,0,0,0,0,0,0,0,0,0,1107625509,0,0,0,1107625509,0,16741,6930560
더블유더블유지자산운용,0,0,0,0,0,25780918823,0,0,81689663573,0,47986115924,680348334,0,91930000000,0,248067046654,0,753497417,16650446546
더블유자산운용,153360426289,180687505454,1340866670,11067358217,0,0,0,0,0,0,0,572621102652,0,0,0,919077259282,0,6418337006,128020774667
더제이자산운용,10416725508537,0,28173397353,0,0,0,0,16235608082,0,0,0,504706005495,0,0,0,10965840519467,0,172986198458,4057728305946
더채움자산운용,0,0,0,10002278970,0,0,0,0,0,0,0,0,0,0,0,10002278970,0,919138,10002278970
더크리에이티브자산운용,47495440000,0,0,0,0,0,0,0,3031158612,0,0,15857987038,0,0,0,66384585650,0,255530071,-13170900809
더퍼블릭자산운용,0,0,0,0,0,0,0,0,0,0,0,19187097850,0,0,0,19187097850,0,-93196591,-3945742300
더퍼스트자산운용,0,0,0,31222530000,0,0,0,0,0,0,0,7113871607,0,0,0,38336401607,0,24481786,-737626239
도미넌트자산운용,0,0,0,0,0,0,0,0,66454934343,0,0,0,0,0,0,66454934343,0,-3165333,-18788397067
두나미스자산운용,84293057164,0,0,0,0,0,0,0,0,0,0,21467010578,0,0,0,105760067742,0,933712044,54160027451
디더블유에스자산운용,0,8534831,372680335,6938833251322,0,1438791756953,0,0,512279966666,0,0,0,0,0,0,8890286190107,0,23684540598,-698119516159
디블록자산운용,0,0,0,0,0,0,0,0,0,0,0,1908115778,0,0,0,1908115778,0,-1174188,-49785839
디비아이자산운용,0,0,0,0,0,0,0,0,0,0,0,11939678965,0,0,0,11939678965,0,16736717,10175846073
디비자산운용,2335091544471,20036827334,245677281647,30147478630202,0,287110190832,4635140448633,797243280853,128702934351,0,957461573744,21689418320798,0,0,0,61243361032865,0,412814140415,780400136312
디스커버리자산운용,0,0,0,0,0,0,0,0,0,0,0,26700198861,0,0,0,26700198861,0,187905021,-4653099081
디에스자산운용,1463916725924,39875024251,40293427366,25072032989,0,0,0,0,0,0,0,1850868594237,0,0,0,3420025804767,0,53750155699,1323317763350
디에이치지자산운용,0,0,0,0,0,0,0,0,0,0,0,5044782660,0,0,0,5044782660,0,-1953266,-903479459
디오션자산운용,0,29705758950,0,0,0,0,0,0,0,0,0,7754109136,0,0,0,37459868086,0,21001886,1162577483
디와이자산운용,0,0,0,0,0,0,0,0,0,0,0,27199628502,0,0,0,27199628502,0,117308857,-7047605493
디파인자산운용,0,35712850124,11731543722,29147493056,0,0,0,0,19761768020,0,0,11142753417,0,0,0,107496408339,0,122855540,52139907998
라살자산운용,0,0,0,0,0,103898907940,0,0,975229143108,0,0,0,0,0,0,1079128051048,0,375191792,-59695475856
라온자산운용,0,0,0,0,0,0,0,0,0,0,0,155663929,0,0,0,155663929,0,3188708,-4406809854
라이노스자산운용,8407322633,0,182799235192,3650119335,0,28756726688,0,0,0,0,0,25021224899,0,0,0,248634628747,0,-354339501,-66206482526
라이언자산운용,116575904792,37828160090,28365620780,25934642856,0,0,0,5586129581,33091386433,0,669939131,17389970938,0,0,0,265441754601,0,62384620,-80912645771
라이크자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
라이프자산운용,1292591350215,97762618184,237432313232,0,0,0,0,56817519580,0,0,0,3576511049374,0,0,0,5261114850585,0,64346569917,2572971350278
