회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
가디언자산운용,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1
갤럭시자산운용,0,3,1,0,0,2,0,0,0,0,0,6,0,0,1,13,0,0,-3
경일에셋자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
골든브릿지자산운용,4,1,3,2,0,2,0,1,3,0,7,10,0,0,0,33,0,0,-8
골든스톤자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
교보악사자산운용,99,6,23,107,0,28,6,28,1,0,12,5,0,0,100,415,0,0,13
교보에이아이엠자산운용,0,0,0,1,2,14,0,1,9,0,8,3,0,1,0,39,0,0,12
구도자산운용,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,8
국제자산운용,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
그라니쿠스자산운용,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4
그래디언트자산운용,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0
그래비티자산운용,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,3
그레이스자산운용,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1
그로쓰힐자산운용,94,0,0,0,0,2,0,0,0,0,0,8,0,0,0,104,0,0,21
그린하버자산운용,3,0,0,0,0,0,0,0,1,0,9,3,0,0,0,16,0,0,-4
글로벌원자산운용,1,1,1,1,0,1,0,0,2,0,0,9,0,0,0,16,0,0,2
글로벌자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
나눔자산운용,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0
나무자산운용,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
나이스자산운용,0,2,3,0,0,1,0,0,0,0,0,6,0,0,1,13,0,0,-3
나틱시스자산운용,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
넥서스자산운용,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,1
누림자산운용,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0
누버거버먼자산운용,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0
다올자산운용,26,11,17,32,0,44,2,10,22,0,27,15,0,0,0,206,0,0,7
다원자산운용,36,0,5,6,0,0,0,0,0,0,0,7,0,0,0,54,0,0,14
다인자산운용,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,15,0,0,2
단디자산운용,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1
대덕자산운용,5,0,1,0,0,0,0,1,0,0,0,6,0,0,0,13,0,0,-1
대신자산운용,40,9,13,50,0,23,1,9,25,0,5,22,0,0,0,197,0,-1,16
더글로벌자산운용,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0
더다움자산운용,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
더로크자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
더블유더블유지자산운용,0,0,0,0,0,2,0,0,2,0,1,2,0,2,0,9,0,0,0
더블유자산운용,129,5,1,2,0,0,0,0,0,0,0,34,0,0,0,171,0,0,-50
더제이자산운용,38,0,3,0,0,0,0,2,0,0,0,25,0,0,0,68,0,0,10
더채움자산운용,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
더크리에이티브자산운용,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,7,0,0,-2
더퍼블릭자산운용,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
더퍼스트자산운용,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0
도미넌트자산운용,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0
두나미스자산운용,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,-1
디더블유에스자산운용,0,2,4,13,0,7,0,0,7,0,0,0,0,0,0,33,0,0,1
디블록자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
디비아이자산운용,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2
디비자산운용,69,5,13,80,0,13,3,20,3,0,7,72,0,0,0,285,0,0,-3
디스커버리자산운용,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,71,0,0,0
디에스자산운용,657,5,3,1,0,0,0,0,0,0,0,81,0,0,0,747,0,-1,207
디에이치지자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
디오션자산운용,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0
디와이자산운용,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
디파인자산운용,0,4,2,1,0,0,0,0,1,0,0,1,0,0,0,9,0,0,2
라살자산운용,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,18,0,0,1
라온자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1
라이노스자산운용,1,0,14,1,0,1,0,0,0,0,0,2,0,0,0,19,0,0,-6
라이언자산운용,16,4,3,1,0,0,0,1,5,0,1,8,0,0,0,39,0,0,3
라이크자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
라이프자산운용,32,9,7,0,0,0,0,1,0,0,0,80,0,0,0,129,0,1,30
라쿤자산운용,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,7,0,0,0
람다자산운용,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,7,0,0,-2
레이크자산운용,0,4,2,0,0,1,0,0,0,0,0,4,0,0,0,11,0,0,-3
레인메이커자산운용,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,2
로렌스투자자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
로만자산운용,1,1,2,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0
로버스트자산운용,2,0,0,0,0,0,0,11,0,0,0,5,0,0,0,18,0,0,0
루트엔글로벌자산운용,2,4,3,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,-1
르네상스자산운용,795,7,0,0,0,0,0,0,0,0,0,15,0,0,0,817,0,1,363
르퓨쳐자산운용,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,5
리딩자산운용,0,2,0,1,0,0,0,0,10,0,0,10,0,0,0,23,0,0,1
리버스톤자산운용,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,1
리운자산운용,6,8,3,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0
리치먼드자산운용,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,17,0,0,0
리치자산운용,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0
리커버리자산운용,0,0,0,38,0,0,0,2,0,0,0,3,0,0,0,43,0,0,0
리코자산운용,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,25,0,0,0
리판자산운용,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,5,0,0,1
