company,ceo,phone,address,website,logo
골든브릿지자산운용,이창민,02-360-9500,서울특별시 강서구 개화동로29길 29 영원오피스텔 202호(방화동 612-277)  (07620),http://www.gbam.co.kr,/upload/logo/A01056.gif
골든스톤자산운용,신동한,070-4149-7529,"서울특별시 영등포구 여의대로24, 43층 FKI타워 (07320)",http://www.goldenstone.co.kr,/upload/logo/1e8761fba739f672-2b58d34519da94f9307-7f1d-20260616140421.png
교보악사자산운용,조휘성/프레데릭벨만,02-767-9600,서울시 종로구 종로1 교보생명빌딩 15층 (110-714) 교보생명빌딩 15층 (03154),http://www.kyoboaxa-im.co.kr,/upload/logo/A01015.gif
교보에이아이엠자산운용,이상열,02-3430-5555,서울시 영등포구 국제금융로2길 32 여의도파이낸스타워 20층 (07325),http://kyobo-aim.com/,/upload/logo/1e8761fba739f6729b64901880d750dfb-7f5a-20230516142715.png
구도자산운용,박정훈,02-780-0460,서울시 영등포구 국제금융로 20 10층 (여의도동 율촌빌딩)  (07327),http://gudoim.com,/upload/logo/e4d388e657fcc4ea-406522317195d5e3a4-7fee-20200428200659.bmp
국제자산운용,김영진,02-6930-5673,"서울시 강남구 논현로828, 6층  (06025)",http://www.kukje-amc.com/,/upload/logo/20170622035659103.jpg
그래디언트자산운용,정재필,02-6367-2021,"서울특별시 영등포구 국제금융로 10, TWO IFC 17층 1730호  (07326)",http://www.gradiantfund.com,/upload/logo/noimage.jpg
그레이스자산운용,오승호,02-785-9422,"서울시 영등포구 국제금융로2길 32, 19층  (07325)",http://graceam.co.kr/,/upload/logo/e4d388e657fcc4ea60ccfb03187fa912f3a-7fde-20230512102116.png
그로쓰힐자산운용,김태홍,02-3215-7400,"서울 영등포구 의사당대로 83, 7층(여의도동, 오투타워)  (07325)",http://www.growthhill.com,/upload/logo/20160223094105912.gif
그린하버자산운용,윤석현,02-6952-7280,"서울시 영등포구 국제금융로 10, Three IFC 46층  (07326)",http://www.sprott-investment.com,/upload/logo/1e8761fba739f6727d8e60c218e989cecef-7fc0-20240416102612.png
글로벌원자산운용,오희열,02-3451-9100,서울시 영등포구 국회대로 70길 18 4층  (07237),http://www.g1am.co.kr,/upload/logo/1e8761fba739f672-30343154168fe008eae-7fe7.JPG
나눔자산운용,권인배,02-557-9031,서울시 강남구 역삼로 122 하나빌딩 5층 (06252),,/upload/logo/e4d388e657fcc4ea-2c47e9be1683155ab2a-7f97.JPG
나이스자산운용,조형인,02-784-0099,서울시 영등포구 국제금융로 6길 33. 12층 16호(맨하탄빌딩)  (07331),http://www.niceam.co.kr,/upload/logo/noimage.jpg
나틱시스자산운용,정태환/김미령,02-6021-7600,서울시 종로구 종로1 교보생명빌딩 14층  (03154),,/upload/logo/noimage.jpg
누림자산운용,강석재,02-783-7254,서울시 영등포구 여의나루로 77-1 503호 월드비전빌딩  (07327),http://www.nuriminvest.com,/upload/logo/e4d388e657fcc4ea60ccfb03187fa912f3a-7fe4-20230512101434.png
누버거버먼자산운용,김대연,02-6040-0100,서울시 중구 세종대로 136 서울파이낸스센터 12층  (04520),http://www.nb.com,/upload/logo/20200819024759670.png
다올자산운용,이창희,02-788-8400,서울시 영등포구 여의나루로60 (여의도동35-1) 포스트타워 28층  (07328),http://www.daolfund.com,/upload/logo/e4d388e657fcc4ea5a5aac821892dafabf9-7ff0-20230711160434.png
다원자산운용,박성진,02-3775-9700,"서울 영등포구 국제금융로 8길 25, 3층 301호 (여의도동)  (07332)",http://www.dawonfn.com,/upload/logo/20201021012542793.gif
다인자산운용,송윤택/최일구,02-6959-8268,서울시 영등포구 여의나루로 67 (여의도동 신송빌딩) 802호  (07327),http://dyneasset.co.kr/,/upload/logo/e4d388e657fcc4ea-51e8db6e183c5ed284c-7f4f-20221031164209.png
대덕자산운용,김영만,02-782-8894,"서울시 영등포구 국제금융로70, 1001호(여의도동 미원빌딩)  (03777)",http://www.ddasset.co.kr,/upload/logo/20170213101029029.jpg
대신자산운용,진승욱,02-769-3200,서울시 중구 삼일대로 343 19층(대신파이낸스센터) 대신파이낸스센터 (04538),http://www.ditm.co.kr,/upload/logo/A01011.jpg
더글로벌자산운용,"장석희, 고덕재",02-6951-0117,"서울시 강남구 선릉로91길 18, 9층 (역삼동, 동현빌딩)  (06150)",http://www.tgam.co.kr,/upload/logo/20170824044751293.jpg
더블유더블유지자산운용,"박제용, 송주형",02-928-2255,서울시 성북구 보문로29길 17 백제빌딩 801호  (02871),http://www.wwg.kr,/upload/logo/e4d388e657fcc4ea60ccfb03187fa912f3a-7fe2-20230512101517.png
더블유자산운용,김우기/노현복,02-782-6901,서울 영등포구 국제금융로 10 Three IFC 42층  (07326),http://www.w-asset.com,/upload/logo/20161108100323064.jpg
더제이자산운용,이재현/최광욱,02-785-7444,"서울시 영등포구 국제금융로 8길 6, 11층 신영증권 별관빌딩 (07330)",http://www.thejasset.com,/upload/logo/e4d388e657fcc4ea7397e78a184e4bfdba2-7ff4-20221213103445.jpg
더크리에이티브자산운용,이혁구,02-559-6500,"서울시 강남구 테헤란로152, 강남파이낸스센터 33층  (06236)",http://www.thecreativeam.com,/upload/logo/e4d388e657fcc4ea5eba1ade19bafa838a4-7fcd-20260202085802.jpg
